NOMOD,MINOR,MAJOR
22538103,22540265,22532225
22538129,22540271,22532225
22538129,22540277,22532240
22538139,22540289,22532243
22538165,22540304,22532252
22538168,22540312,22532258
22538174,22540316,22532264
22538183,22540325,22532265
22538222,22540346,22532282
22538225,22540352,22532285
22538239,22540360,22532285
22538272,22540384,22532291
22538284,22540417,22532294
22538284,22540426,22532300
22538302,22540480,22532312
22538308,22540486,22532324
22538329,22540542,22532357
22538344,22540548,22532362
22538368,22540557,22532362
22538371,22540593,22532395
22538371,22540595,22532395
22538383,22540620,22532405
22538385,22540631,22532413
22538394,22540634,22532413
22538394,22540644,22532428
22538421,22540667,22532437
22538436,22540670,22532437
22538445,22540676,22532467
22538472,22540679,22532473
22538498,22540700,22532473
