0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12636292,12632221,12632415,12637015,12636535,12636187,12633154,12636900,12632336,12632441,12636517,12630358,12632093,12636683,12637327,12637046,12632502,12637437,12633320,12633077,12632249,12637718,12637539,12637207,12636716,12632009,12632231,12637539,12636320,12630864,12632681,12636862,12632607,12637631,12637332,12633003,12636205,12635571,12630777,12631334
12636320,12632244,12632466,12637023,12636573,12636200,12633187,12636931,12632369,12632446,12636517,12630465,12632124,12636688,12637332,12637056,12632551,12637547,12633330,12633100,12632290,12637718,12637539,12637225,12636744,12632037,12632257,12637580,12636328,12631109,12632704,12636867,12632622,12637649,12637337,12633013,12636264,12635579,12630782,12631365
12636325,12632280,12632484,12637023,12636578,12636236,12633192,12636959,12632382,12632461,12636540,12630537,12632129,12636706,12637350,12637056,12632553,12637552,12633353,12633103,12632382,12637723,12637570,12637243,12636747,12632042,12632267,12637595,12636402,12631122,12632758,12636875,12632643,12637654,12637337,12633036,12636287,12635635,12630785,12631370
12636356,12632282,12632497,12637051,12636614,12636264,12633238,12637018,12632395,12632502,12636540,12630560,12632144,12636719,12637350,12637059,12632556,12637580,12633353,12633123,12632418,12637741,12637603,12637248,12636775,12632050,12632277,12637603,12636412,12631329,12632768,12636895,12632645,12637677,12637355,12633039,12636292,12635653,12630836,12631439
12636397,12632290,12632525,12637069,12636614,12636264,12633238,12637038,12632428,12632543,12636545,12630573,12632165,12636729,12637368,12637059,12632584,12637608,12633435,12633128,12632433,12637759,12637603,12637271,12636783,12632052,12632331,12637626,12636517,12631651,12632778,12636923,12632663,12637677,12637363,12633044,12636297,12635661,12630851,12631449
12636412,12632305,12632625,12637074,12636673,12636320,12633256,12637074,12632484,12632566,12636558,12630603,12632165,12636803,12637368,12637064,12632602,12637639,12633453,12633131,12632464,12637769,12637613,12637294,12636788,12632139,12632372,12637634,12636522,12631687,12632796,12636931,12632671,12637677,12637378,12633090,12636379,12635676,12630892,12631457
12636412,12632336,12632648,12637107,12636673,12636374,12633261,12637087,12632502,12632571,12636586,12630782,12632180,12636816,12637391,12637089,12632622,12637667,12633473,12633131,12632474,12637792,12637616,12637304,12636821,12632152,12632382,12637649,12636532,12631743,12632809,12636944,12632704,12637685,12637411,12633095,12636389,12635679,12630900,12631467
12636430,12632372,12632650,12637120,12636688,12636392,12633312,12637092,12632515,12632604,12636609,12630841,12632180,12636844,12637406,12637097,12632622,12637713,12633486,12633159,12632484,12637800,12637639,12637345,12636834,12632160,12632397,12637695,12636558,12631748,12632834,12636974,12632709,12637695,12637419,12633123,12636407,12635694,12630900,12631485
12636463,12632387,12632653,12637158,12636706,12636399,12633320,12637115,12632515,12632612,12636632,12630841,12632193,12636854,12637409,12637102,12632645,12637795,12633501,12633187,12632497,12637843,12637641,12637345,12636857,12632216,12632420,12637700,12636591,12631802,12632865,12637041,12632745,12637700,12637465,12633123,12636420,12635702,12630915,12631498
12636471,12632392,12632681,12637220,12636734,12636443,12633343,12637125,12632520,12632640,12636637,12630956,12632208,12636936,12637450,12637171,12632653,12637871,12633501,12633187,12632558,12637864,12637657,12637350,12636882,12632226,12632423,12637746,12636614,12631807,12632870,12637041,12632750,12637736,12637483,12633128,12636422,12635707,12630923,12631562
12636486,12632410,12632737,12637240,12636739,12636453,12633343,12637143,12632530,12632653,12636642,12631030,12632234,12636936,12637493,12637197,12632663,12637910,12633542,12633210,12632576,12637879,12637662,12637368,12636918,12632229,12632438,12637759,12636627,12631909,12632878,12637051,12632755,12637736,12637501,12633136,12636445,12635712,12630925,12631564
12636486,12632415,12632745,12637271,12636762,12636555,12633353,12637153,12632535,12632658,12636660,12631140,12632257,12636941,12637521,12637202,12632709,12637958,12633545,12633220,12632589,12637915,12637672,12637378,12636969,12632313,12632451,12637769,12636637,12631950,12632911,12637069,12632791,12637779,12637516,12633141,12636458,12635725,12630928,12631587
12636489,12632438,12632801,12637286,12636806,12636558,12633366,12637166,12632558,12632658,12636665,12631199,12632295,12636982,12637552,12637204,12632719,12637966,12633591,12633238,12632612,12637940,12637680,12637378,12636977,12632336,12632474,12637777,12636655,12631968,12632916,12637097,12632806,12637851,12637521,12633146,12636481,12635745,12630933,12631595
12636499,12632438,12632811,12637335,12636806,12636673,12633376,12637179,12632561,12632663,12636696,12631214,12632336,12636982,12637557,12637207,12632750,12637979,12633593,12633261,12632612,12637956,12637705,12637391,12636982,12632349,12632474,12637851,12636673,12631991,12632921,12637110,12632824,12637851,12637539,12633151,12636494,12635750,12630979,12631610
12636606,12632456,12632819,12637355,12636813,12636675,12633407,12637212,12632576,12632668,12636757,12631222,12632341,12637000,12637570,12637217,12632755,12637986,12633680,12633269,12632653,12637966,12637728,12637401,12637005,12632369,12632474,12637879,12636673,12632037,12632929,12637120,12632829,12637874,12637567,12633164,12636494,12635753,12630989,12631628
