0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14135639,14132815,14133288,14137282,14132212,14133643,14137323,14137397,14133717,14145869,14141949,14142406,14137714,14145984,14146316,14146349,14146577,14137009,14141905,14145376,14142738,14134264,14147512
14135657,14132846,14133293,14137300,14132222,14133669,14137328,14137428,14133740,14145882,14141949,14142411,14137714,14146027,14146339,14146375,14146587,14137024,14141913,14145396,14142792,14134282,14147517
14135667,14132851,14133321,14137346,14132225,14133671,14137364,14137451,14133766,14145966,14141974,14142511,14137722,14146030,14146344,14146385,14146620,14137029,14141974,14145414,14142792,14134295,14147540
14135675,14132851,14133329,14137346,14132235,14133684,14137374,14137456,14133776,14145966,14141982,14142534,14137732,14146058,14146362,14146421,14146633,14137034,14141977,14145424,14142797,14134323,14147558
14135680,14132866,14133329,14137346,14132243,14133702,14137402,14137461,14133799,14145981,14141982,14142577,14137755,14146058,14146385,14146436,14146656,14137070,14141992,14145437,14142861,14134328,14147566
14135708,14132866,14133339,14137359,14132250,14133745,14137410,14137461,14133807,14145989,14141987,14142595,14137760,14146071,14146411,14146444,14146694,14137078,14141997,14145442,14142874,14134333,14147576
14135726,14132874,14133357,14137359,14132266,14133753,14137415,14137497,14133809,14145994,14141992,14142600,14137765,14146076,14146416,14146454,14146712,14137116,14142000,14145442,14142884,14134346,14147594
14135782,14132892,14133362,14137377,14132268,14133768,14137420,14137530,14133822,14145994,14142000,14142608,14137778,14146081,14146421,14146495,14146715,14137119,14142005,14145445,14142943,14134346,14147612
14135787,14132912,14133380,14137387,14132276,14133776,14137433,14137561,14133840,14146007,14142020,14142631,14137801,14146091,14146472,14146541,14146725,14137121,14142010,14145470,14142966,14134384,14147627
14135795,14132920,14133421,14137395,14132304,14133794,14137451,14137645,14133850,14146012,14142043,14142636,14137829,14146099,14146480,14146564,14146766,14137121,14142010,14145473,14142976,14134387,14147663
14135815,14132925,14133426,14137405,14132332,14133799,14137489,14137650,14133868,14146017,14142046,14142641,14137837,14146099,14146482,14146574,14146804,14137134,14142020,14145475,14143007,14134430,14147668
14135818,14132930,14133436,14137415,14132337,14133807,14137515,14137658,14133909,14146017,14142074,14142644,14137842,14146112,14146523,14146577,14146807,14137139,14142028,14145496,14143030,14134433,14147701
14135823,14132933,14133464,14137415,14132350,14133863,14137520,14137658,14133919,14146027,14142084,14142672,14137852,14146127,14146541,14146587,14146817,14137175,14142028,14145506,14143055,14134443,14147709
14135846,14132953,14133472,14137420,14132373,14133868,14137525,14137691,14133932,14146030,14142094,14142672,14137875,14146196,14146577,14146628,14146822,14137185,14142033,14145506,14143063,14134453,14147732
14135851,14132989,14133485,14137428,14132383,14133868,14137535,14137709,14133952,14146048,14142102,14142690,14137885,14146224,14146587,14146633,14146845,14137188,14142038,14145516,14143063,14134453,14147747
14135874,14132999,14133523,14137433,14132388,14133886,14137540,14137714,14133960,14146058,14142125,14142700,14137888,14146224,14146605,14146674,14146858,14137208,14142084,14145524,14143091,14134474,14147755
14135874,14133022,14133602,14137438,14132401,14133896,14137571,14137717,14133988,14146099,14142143,14142710,14137898,14146252,14146623,14146674,14146881,14137262,14142107,14145542,14143101,14134489,14147770
14135905,14133022,14133656,14137443,14132406,14133896,14137604,14137722,14134006,14146122,14142176,14142738,14137901,14146288,14146625,14146687,14146891,14137267,14142117,14145547,14143104,14134499,14147819
14135910,14133035,14133740,14137451,14132419,14133901,14137622,14137727,14134052,14146132,14142176,14142751,14137906,14146326,14146628,14146712,14146899,14137280,14142130,14145557,14143104,14134507,14147824
14135925,14133050,14133745,14137461,14132419,14133914,14137630,14137732,14134080,14146150,14142189,14142774,14137916,14146347,14146633,14146712,14146917,14137295,14142143,14145565,14143114,14134522,14147829
14135925,14133063,14133745,14137461,14132424,14133914,14137635,14137747,14134093,14146150,14142189,14142815,14137916,14146352,14146679,14146720,14146965,14137300,14142161,14145570,14143150,14134550,14147829
14135938,14133071,14133753,14137497,14132432,14133919,14137686,14137765,14134108,14146181,14142199,14142825,14137921,14146362,14146743,14146725,14146968,14137308,14142189,14145580,14143155,14134571,14147842
14135943,14133073,14133758,14137502,14132447,14134011,14137704,14137768,14134251,14146196,14142204,14142851,14137929,14146380,14146766,14146738,14146968,14137318,14142189,14145585,14143201,14134594,14147847
14135979,14133101,14133771,14137507,14132457,14134019,14137704,14137773,14134269,14146201,14142217,14142861,14137944,14146390,14146766,14146748,14146973,14137318,14142194,14145585,14143206,14134719,14147865
14135997,14133140,14133830,14137510,14132465,14134024,14137719,14137773,14134272,14146206,14142217,14142879,14137952,14146395,14146802,14146766,14147029,14137326,14142204,14145588,14143219,14134734,14147880
14135997,14133160,14133845,14137530,14132465,14134052,14137737,14137796,14134287,14146227,14142235,14142889,14137957,14146403,14146807,14146776,14147042,14137331,14142207,14145590,14143229,14134747,14147888
14136012,14133160,14133886,14137533,14132501,14134065,14137737,14137806,14134346,14146229,14142245,14142894,14137970,14146411,14146853,14146809,14147042,14137333,14142217,14145608,14143270,14134801,14147893
14136040,14133168,14133899,14137548,14132524,14134067,14137770,14137814,14134389,14146275,14142250,14142912,14137985,14146431,14146868,14146812,14147052,14137341,14142217,14145616,14143275,14134824,14147898
14136053,14133183,14133904,14137553,14132539,14134070,14137791,14137819,14134397,14146306,14142250,14142915,14137995,14146444,14146894,14146817,14147052,14137349,14142222,14145621,14143275,14134834,14147898
14136114,14133211,14133947,14137558,14132557,14134070,14137793,14137847,14134397,14146342,14142263,14142917,14138003,14146462,14146909,14146858,14147060,14137354,14142232,14145621,14143283,14134862,14147903
14136117,14133216,14133950,14137571,14132595,14134139,14137801,14137852,14134425,14146375,14142281,14142920,14138013,14146500,14146932,14146863,14147083,14137356,14142240,14145626,14143316,14134916,14147939
