0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14158598,14155378,14156242,14159306,14159321,14160241,14155457,14148542,14159881,14150801,14160653,14161284,14150479,14151279,14157742,14160717,14157471,14160098,14153050,14151315,14149702
14158598,14155386,14156247,14159319,14159329,14160249,14155465,14148588,14159886,14150806,14160653,14161315,14150492,14151284,14157747,14160727,14157489,14160111,14153073,14151338,14149728
14158603,14155424,14156252,14159342,14159344,14160254,14155465,14148588,14159894,14150837,14160658,14161322,14150497,14151307,14157798,14160737,14157507,14160116,14153083,14151348,14149738
14158603,14155429,14156265,14159342,14159385,14160262,14155465,14148601,14159894,14150842,14160658,14161325,14150515,14151320,14157801,14160745,14157512,14160116,14153109,14151384,14149748
14158606,14155432,14156288,14159375,14159385,14160308,14155470,14148616,14159904,14150855,14160663,14161335,14150530,14151325,14157806,14160745,14157522,14160134,14153114,14151386,14149756
14158616,14155483,14156293,14159413,14159388,14160333,14155470,14148616,14159904,14150855,14160686,14161376,14150533,14151325,14157834,14160750,14157530,14160152,14153119,14151389,14149784
14158626,14155496,14156329,14159416,14159403,14160336,14155483,14148621,14159904,14150870,14160686,14161381,14150548,14151335,14157834,14160760,14157553,14160175,14153119,14151399,14149807
14158629,14155524,14156334,14159472,14159403,14160336,14155493,14148639,14159909,14150870,14160722,14161389,14150551,14151340,14157844,14160768,14157568,14160185,14153155,14151407,14149822
14158644,14155552,14156349,14159485,14159416,14160341,14155511,14148652,14159909,14150870,14160727,14161394,14150553,14151343,14157844,14160768,14157571,14160188,14153221,14151407,14149825
14158644,14155557,14156375,14159485,14159416,14160341,14155534,14148657,14159912,14150870,14160732,14161417,14150556,14151348,14157875,14160796,14157571,14160216,14153234,14151412,14149835
14158652,14155580,14156385,14159513,14159467,14160346,14155542,14148662,14159927,14150883,14160732,14161417,14150556,14151348,14157885,14160814,14157576,14160216,14153244,14151417,14149848
14158652,14155593,14156416,14159518,14159477,14160349,14155542,14148680,14159935,14150893,14160747,14161427,14150558,14151371,14157885,14160824,14157581,14160221,14153244,14151430,14149863
14158654,14155593,14156462,14159531,14159490,14160359,14155562,14148716,14159937,14150911,14160760,14161432,14150574,14151376,14157895,14160837,14157609,14160244,14153252,14151463,14149866
14158667,14155598,14156485,14159541,14159505,14160359,14155580,14148726,14159945,14150911,14160760,14161460,14150576,14151381,14157908,14160852,14157609,14160249,14153298,14151471,14149866
14158672,14155598,14156500,14159549,14159518,14160374,14155603,14148731,14159955,14150916,14160765,14161468,14150584,14151394,14157908,14160870,14157640,14160259,14153303,14151476,14149871
14158677,14155603,14156538,14159559,14159528,14160377,14155631,14148767,14159955,14150921,14160773,14161501,14150589,14151404,14157908,14160883,14157640,14160259,14153313,14151514,14149876
