0-NOMOD,0-MINOR[63],0-MAJOR[63]
14154305,14154844,14151798
14154351,14154849,14151798
14154374,14154854,14151798
14154379,14154859,14151803
14154379,14154862,14151823
14154384,14154867,14151826
14154392,14154880,14151831
14154412,14154890,14151849
14154417,14154890,14151859
14154420,14154903,14151859
14154425,14154913,14151862
14154430,14154936,14151864
14154435,14154946,14151887
14154440,14154946,14151900
14154484,14154954,14151908
14154491,14154977,14151910
14154494,14154977,14151918
14154504,14155005,14151936
14154522,14155046,14151941
14154553,14155066,14151951
14154555,14155087,14151954
14154555,14155087,14151956
14154568,14155092,14151959
14154573,14155105,14151969
14154581,14155110,14151992
14154591,14155125,14151992
14154591,14155125,14152002
14154596,14155125,14152028
14154609,14155133,14152033
14154609,14155133,14152038
14154609,14155143,14152051
14154609,14155148,14152066
14154632,14155153,14152099
14154637,14155166,14152125
14154637,14155171,14152140
14154642,14155184,14152158
14154647,14155207,14152171
14154650,14155217,14152171
14154652,14155230,14152176
14154655,14155235,14152176
14154665,14155245,14152181
14154665,14155245,14152181
14154668,14155248,14152186
14154670,14155250,14152186
14154673,14155253,14152189
14154673,14155253,14152209
14154673,14155271,14152212
14154678,14155273,14152217
14154683,14155276,14152222
14154683,14155304,14152227
14154688,14155309,14152227
14154701,14155322,14152240
14154701,14155327,14152245
14154706,14155327,14152268
14154706,14155345,14152276
14154714,14155350,14152278
14154719,14155350,14152278
14154719,14155378,14152291
14154729,14155378,14152291
14154729,14155378,14152301
14154734,14155386,14152309
14154747,14155386,14152309
14154752,14155391,14152319
14154752,14155404,14152327
14154752,14155419,14152332
14154770,14155457,14152342
14154775,14155475,14152350
14154780,14155483,14152360
14154790,14155493,14152360
14154790,14155498,14152368
14154793,14155511,14152383
14154798,14155511,14152393
14154803,14155521,14152401
14154816,14155534,14152406
14154821,14155539,14152434
14154839,14155539,14152437
14154844,14155585,14152452
14154849,14155588,14152457
14154872,14155590,14152457
14154882,14155590,14152462
14154941,14155593,14152465
14154946,14155595,14152480
14154954,14155603,14152493
14154959,14155603,14152493
14154964,14155603,14152498
14154977,14155626,14152498
14154977,14155644,14152498
14154977,14155659,14152511
14154987,14155659,14152513
14154990,14155685,14152521
14155005,14155685,14152534
14155010,14155687,14152544
14155028,14155690,14152544
14155028,14155695,14152549
14155028,14155700,14152572
14155028,14155703,14152572
14155046,14155723,14152590
14155051,14155726,14152590
14155051,14155731,14152590
14155056,14155736,14152590
14155074,14155736,14152613
14155074,14155759,14152613
14155079,14155764,14152626
14155084,14155769,14152641
14155092,14155772,14152641
14155102,14155777,14152646
14155110,14155782,14152649
14155120,14155797,14152651
14155120,14155800,14152654
14155133,14155802,14152659
14155161,14155810,14152674
14155171,14155818,14152690
14155174,14155825,14152692
14155176,14155838,14152692
14155181,14155843,14152700
14155212,14155843,14152710
14155225,14155848,14152720
14155230,14155869,14152746
14155235,14155879,14152769
14155250,14155887,14152774
14155253,14155897,14152782
14155266,14155907,14152784
14155276,14155915,14152789
14155281,14155915,14152807
14155281,14155920,14152820
14155281,14155925,14152833
14155291,14155933,14152838
14155291,14155940,14152858
14155291,14155943,14152861
14155299,14155948,14152866
14155299,14155966,14152871
14155299,14155981,14152884
14155309,14156002,14152897
14155314,14156012,14152902
14155317,14156012,14152907
14155319,14156022,14152907
14155322,14156022,14152907
14155327,14156027,14152912
14155327,14156035,14152935
14155337,14156040,14152935
14155345,14156040,14152948
14155350,14156063,14152958
14155355,14156063,14152976
14155363,14156073,14152976
14155368,14156086,14152981
14155373,14156086,14152981
14155373,14156091,14152986
14155388,14156096,14152999
14155391,14156109,14153012
14155396,14156114,14153014
14155401,14156114,14153022
14155401,14156119,14153027
14155404,14156119,14153027
14155419,14156127,14153032
14155419,14156137,14153032
14155419,14156150,14153060
14155424,14156150,14153068
14155424,14156155,14153073
14155432,14156168,14153083
14155432,14156168,14153091
14155437,14156170,14153101
14155442,14156206,14153109
14155447,14156214,14153114
14155465,14156229,14153119
14155470,14156232,14153137
14155473,14156237,14153147
14155473,14156239,14153152
14155483,14156255,14153155
14155483,14156275,14153155
14155493,14156280,14153170
14155493,14156283,14153188
14155493,14156293,14153193
14155503,14156303,14153198
14155516,14156316,14153206
14155516,14156316,14153211
14155529,14156329,14153211
14155544,14156334,14153216
14155562,14156339,14153216
14155575,14156339,14153221
14155580,14156339,14153221
14155585,14156352,14153239
14155585,14156362,14153244
14155593,14156362,14153257
14155598,14156370,14153257
14155613,14156377,14153272
14155626,14156380,14153275
14155626,14156380,14153280
14155626,14156390,14153321
14155649,14156390,14153336
14155659,14156395,14153349
14155677,14156395,14153349
14155682,14156398,14153359
14155695,14156416,14153362
14155695,14156416,14153364
14155710,14156436,14153372
14155713,14156436,14153390
14155723,14156444,14153405
14155723,14156449,14153408
14155728,14156477,14153413
14155733,14156477,14153431
14155736,14156482,14153436
14155746,14156495,14153436
14155769,14156495,14153441
14155787,14156515,14153446
14155800,14156523,14153446
14155828,14156546,14153469
14155833,14156546,14153482
14155838,14156559,14153482
14155838,14156569,14153492
14155841,14156574,14153492
14155864,14156587,14153510
14155866,14156587,14153510
14155874,14156592,14153533
14155879,14156597,14153551
14155879,14156597,14153566
14155884,14156602,14153574
14155884,14156610,14153574
14155889,14156638,14153579
14155892,14156648,14153579
14155894,14156656,14153602
14155902,14156661,14153615
14155930,14156702,14153620
14155948,14156702,14153620
14155948,14156707,14153625
14155948,14156730,14153653
14155961,14156730,14153653
14155976,14156735,14153653
14155981,14156735,14153661
14155984,14156740,14153666
14155984,14156748,14153689
14155986,14156771,14153707
14156004,14156776,14153712
14156009,14156786,14153717
14156012,14156794,14153722
14156027,14156804,14153730
14156045,14156809,14153735
14156063,14156814,14153740
14156063,14156822,14153740
14156068,14156822,14153750
14156078,14156827,14153753
14156081,14156855,14153753
14156081,14156863,14153763
14156096,14156863,14153773
14156099,14156868,14153776
14156104,14156868,14153786
14156109,14156878,14153791
14156109,14156896,14153804
14156132,14156904,14153804
14156137,14156906,14153809
14156147,14156924,14153809
14156150,14156924,14153809
14156150,14156927,14153824
14156150,14156932,14153827
14156160,14156937,14153845
14156165,14156937,14153855
14156168,14156942,14153860
14156178,14156947,14153886
14156178,14156950,14153891
14156178,14156952,14153891
14156183,14156955,14153891
14156183,14156988,14153896
14156188,14156988,14153901
14156201,14156993,14153901
14156206,14156996,14153906
14156206,14156998,14153919
14156206,14157011,14153929
14156211,14157016,14153934
14156214,14157019,14153942
14156219,14157024,14153957
14156219,14157029,14153965
14156219,14157057,14153988
14156224,14157065,14153993
14156237,14157075,14153993
14156237,14157083,14153993
14156242,14157098,14153998
14156247,14157103,14154016
14156252,14157103,14154021
14156257,14157111,14154034
14156260,14157121,14154039
14156265,14157134,14154044
14156265,14157136,14154057
14156270,14157139,14154057
14156270,14157149,14154062
14156270,14157152,14154085
14156283,14157162,14154090
14156283,14157180,14154113
14156285,14157185,14154118
14156301,14157190,14154118
14156311,14157195,14154136
14156321,14157195,14154139
14156324,14157198,14154205
14156344,14157208,14154213
14156362,14157213,14154231
